set	lib_id	repscores_woX	G1_cells	IQR_filter	out_5_95_rep	Man_filter
d0	CBMS1_ESC_single_75perS_18	0.848046651161223	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_15	0.883331084727469	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_25	0.886250838363514	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_48	0.0103184365176985	NA	1	1	NA
d0	CBMS1_ESC_single_25perS_49	0.1451536643026	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_53	0.156668017835428	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_51	0.263453217955652	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_50	0.319897286887184	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_54	0.335096399931752	NA	NA	NA	NA
d0	CBMS1_ESC_single_25perS_52	0.402351271916489	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_55	0.587870784234051	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_54	0.685825571549534	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_40	0.69762243446454	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_51	0.698235055450365	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_42	0.707005722412217	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_57	0.708589995261626	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_45	0.723140356213458	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_44	0.726699226699227	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_49	0.731825415636745	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_47	0.738217768147346	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_48	0.746556754189565	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_46	0.763324422185374	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_50	0.777337800791959	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_41	0.796004883673608	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_56	0.881718241042345	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_58	0.894347722394467	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_43	0.896953040173724	NA	NA	NA	NA
d0	CBMS1_ESC_single_75perS_52	0.954606365159129	NA	NA	1	NA
d0	CBMS1_ESC_single_75perS_53	0.975943174964819	NA	1	1	NA
d0	CBMS1_ESC_single_75perS_59	0.99919616840272	NA	NA	1	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_09	0.0189175518462317	NA	NA	1	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_11	0.0241772011941179	NA	NA	1	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_02	0.0277670651754724	NA	NA	1	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_06	0.0294722643736301	NA	NA	1	NA
d2	CBMS1_Day2Diff_ESC_single_55perS_05	0.0302159732314868	NA	NA	1	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_06	0.0379550212737219	NA	NA	1	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_01	0.0395378165581649	NA	NA	1	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_11	0.0407111829477725	NA	NA	1	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_12	0.0455157554538109	NA	NA	1	NA
d2	CBMS1_Day2Diff_ESC_single_25perS_01	0.0488026981450253	NA	NA	1	NA
d2	CBMS1_Day2Diff_ESC_single_65perS_04	0.0555029745808545	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_45perS_06	0.0590939824205544	NA	NA	NA	NA
d2	CBMS1_Day2Diff_ESC_single_35perS_04	0.0754532587450293	NA	NA	NA	NA
